CARRIER,FL_NUM,ORIGIN,DEST,CRS_DEP_TIME,CRS_ARR_TIME
B6,2324,MCO,DCA,655,858
B6,2379,BOS,EWR,855,1017
B6,2391,BOS,TPA,1340,1710
B6,2392,TPA,BOS,1750,2039
B6,2401,BUF,JFK,1315,1440
B6,2402,JFK,BUF,1115,1238
B6,2416,AUS,MCO,1700,2017
B6,2417,MCO,AUS,1150,1345
B6,2453,JFK,PBI,700,1005
B6,2454,PBI,JFK,1110,1347
B6,2465,BUF,FLL,725,1046
B6,2466,FLL,BUF,1500,1754
B6,2490,MCO,JFK,1526,1800
B6,2580,EWR,BOS,1759,1913
B6,2589,LAS,SFO,1525,1703
B6,2601,BUF,JFK,1635,1804
B6,2602,JFK,BUF,840,1009
B6,2615,JAX,FLL,1225,1341
B6,2616,FLL,JAX,2055,2208
B6,2679,BOS,EWR,1900,2029
B6,2689,LAS,SFO,1959,2135
B6,2701,BUF,JFK,1829,2000
B6,2702,JFK,BUF,627,753
B6,2765,BOS,RSW,1225,1606
B6,2784,RDU,BOS,700,851
B6,2818,JFK,BOS,744,855
B6,2904,SJU,JFK,450,750
DL,2,JFK,FLL,1935,2256
DL,7,LAS,LAX,622,745
DL,8,MIA,ATL,1900,2105
DL,10,DEN,MSP,1552,1854
DL,12,SLC,MSP,1515,1853
DL,14,SLC,ATL,1105,1648
DL,15,ATL,SLC,1759,2016
DL,19,DTW,BWI,2023,2202
DL,24,MIA,ATL,1618,1823
DL,25,ATL,MIA,1905,2102
DL,28,MCO,ATL,1630,1811
DL,29,ATL,MSY,1754,1833
DL,30,DFW,ATL,1600,1906
DL,31,ATL,DFW,1910,2040
DL,32,MSY,ATL,1915,2143
DL,33,ATL,MCO,2235,5
DL,34,ANC,SEA,600,1037
DL,36,LAS,SEA,1500,1744
DL,38,SEA,DTW,950,1709
DL,39,DTW,SEA,836,1043
DL,40,LAX,JFK,830,1704
DL,41,JFK,LAX,1822,2155
DL,42,ATL,JFK,1520,1741
DL,43,JFK,ATL,1529,1821
DL,44,LAX,JFK,1135,2005
DL,45,JFK,SLC,1600,1934
DL,46,FLL,JFK,1200,1456
DL,48,TPA,JFK,1515,1756
DL,50,SAN,SLC,1645,1944
DL,53,MSP,DTW,1535,1810
DL,61,SFO,ATL,1210,1946
DL,64,LAX,ATL,900,1614
DL,65,ATL,LAX,1855,2107
DL,72,MCO,ATL,1523,1703
DL,74,MSY,ATL,1625,1857
DL,82,MSY,ATL,1220,1448
DL,87,DTW,MSP,1545,1649
DL,94,DTW,ATL,1206,1415
DL,95,ATL,DTW,1210,1408
DL,98,DEN,DTW,1000,1448
DL,101,LAX,ATL,1230,1948
DL,104,ATL,BOS,859,1127
DL,105,BOS,ATL,1450,1758
DL,106,SAN,SLC,1305,1602
DL,108,IAH,ATL,1405,1709
DL,110,ATL,LAX,827,1030
DL,116,BHM,ATL,1330,1532
DL,120,MSP,LGA,1341,1719
DL,121,LGA,MSP,600,801
DL,127,FLL,LGA,1240,1540
DL,128,SEA,LAX,934,1220
DL,132,SAN,DTW,715,1433
DL,134,RSW,DTW,1425,1716
DL,147,SLC,ATL,1415,1958
DL,150,ATL,DCA,1050,1231
DL,151,DCA,ATL,1459,1702
DL,156,SEA,FLL,2100,549
DL,158,DTW,BOS,1200,1354
DL,159,BOS,DTW,840,1058
DL,160,DEN,MSP,1115,1413
DL,162,PHX,MSP,1438,1849
DL,164,MEM,ATL,815,1029
DL,165,MCO,JFK,825,1055
DL,169,SNA,MSP,815,1353
DL,177,ATL,DFW,1620,1752
DL,181,ATL,CVG,1200,1326
DL,182,LAX,LAS,1905,2018
DL,186,LAX,MCO,2305,650
DL,188,DTW,BOS,2018,2216
DL,192,LGA,DTW,900,1105
DL,194,SLC,PHL,1130,1748
DL,196,MCO,MIA,700,800
DL,197,MIA,MCO,2059,2205
DL,198,SEA,LAS,1525,1750
DL,199,LAS,SEA,735,1020
DL,200,MSP,ATL,1300,1635
DL,201,ATL,MSP,840,1018
DL,205,TPA,DTW,1624,1903
DL,220,JFK,ATL,1925,2209
DL,221,JFK,TPA,1930,2237
DL,223,ATL,RSW,2105,2248
DL,228,MCO,CVG,1315,1526
DL,233,GSO,ATL,600,722
DL,238,CLT,SLC,730,1016
DL,240,SFO,ATL,610,1345
DL,247,SLC,LAX,1107,1213
DL,254,MCI,SLC,700,852
DL,256,ATL,DTW,2225,19
DL,262,ATL,BNA,1930,1941
DL,263,TPA,JFK,730,1011
DL,264,LAX,TPA,1140,1912
DL,267,SFO,JFK,1305,2135
DL,269,SEA,ATL,1445,2230
DL,271,OGG,LAX,2136,459
DL,279,IAH,ATL,805,1102
DL,285,LAX,OGG,1355,1749
DL,289,LAX,KOA,825,1224
DL,302,DTW,BUF,2015,2127
DL,307,LGA,TPA,700,1005
DL,314,ATL,PDX,1634,1903
DL,315,SJU,JFK,1500,1808
DL,322,SJU,ATL,1350,1657
DL,323,ATL,SJU,820,1247
DL,325,DTW,ATL,1500,1712
DL,326,SJU,JFK,740,1039
DL,327,MSP,PHX,1520,1751
DL,330,MSP,SAN,1530,1727
DL,331,ATL,CAE,1231,1328
DL,332,SJU,JFK,1745,2052
DL,333,LAX,DTW,1145,1922
